dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,55.98,60.25,86.34
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,52.03,60.25,65.22
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,46.5,60.25,81.04
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib,59.92,59.58,65.86
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,48.14,59.58,72.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,69.97,59.58,66.97
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,63.77,59.58,80.34
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf,46.11,59.58,63.52
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,39.59,59.58,80.81
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,24.17,59.58,36.54
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,31.93,59.58,60.14
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib,67.09,59.58,70.46
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,48.89,59.58,73.4
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,79.26,59.58,72.24
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,65.56,59.58,81.74
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf,54.14,59.58,69.89
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,40.34,59.58,82.39
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,39.99,59.58,55.86
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,42.33,59.58,76.54
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib,69.6,59.58,71.95
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,49.04,59.58,73.45
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,81.16,59.58,73.02
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,65.89,59.58,81.87
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf,56.48,59.58,71.4
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,40.45,59.58,82.64
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,49.08,59.58,63.24
