dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,71.52,59.8,68.62
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,56.08,59.8,74.28
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,61.18,59.8,68.85
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,48.73,59.8,77.55
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,35.98,59.8,56.01
ambiguous,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,29.29,59.8,63.93
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,calib,20.31,63.94,47.46
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,13.53,63.94,48.15
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,57.66,63.94,60.54
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,56.85,63.94,74.59
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,sf,24.93,63.94,51.67
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,23.93,63.94,63.13
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,10.88,63.94,26.31
ambiguous,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,18.96,63.94,37.6
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,calib,24.56,63.94,54.66
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,13.95,63.94,50.27
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,67.84,63.94,66.86
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,59.39,63.94,76.06
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,sf,28.93,63.94,59.79
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,25.16,63.94,65.65
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,24.74,63.94,43.89
ambiguous,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,27.75,63.94,56.1
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,calib,28.22,63.94,58.95
ambiguous,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,13.89,63.94,50.62
