dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,59.53,60.25,72.27
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf,58.27,60.25,67.84
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,50.78,60.25,78.34
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,25.76,60.25,39.2
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,28.18,60.25,55.13
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib,72.92,60.25,72.34
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,61.84,60.25,72.04
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,72.88,60.25,72.02
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,62.41,60.25,74.14
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf,63.18,60.25,72.0
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,52.35,60.25,79.75
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,41.66,60.25,58.86
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,37.72,60.25,70.86
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib,73.96,60.25,73.0
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,62.03,60.25,72.1
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,74.53,60.25,72.78
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,62.89,60.25,74.32
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf,64.41,60.25,72.88
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,52.56,60.25,79.93
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,49.41,60.25,65.5
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,41.15,60.25,74.58
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,74.25,60.25,73.19
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,62.05,60.25,72.1
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,74.97,60.25,72.96
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,62.99,60.25,74.35
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,64.76,60.25,73.12
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,52.55,60.25,79.96
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,51.92,60.25,67.42
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,42.26,60.25,75.6
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib,58.86,59.58,67.37
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,46.7,59.58,66.3
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,67.24,59.58,68.09
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,60.4,59.58,72.29
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf,46.05,59.58,65.4
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,37.39,59.58,74.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,26.82,59.58,40.0
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,29.97,59.58,55.98
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib,64.21,59.58,71.13
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,47.85,59.58,67.05
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,73.27,59.58,72.04
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,62.96,59.58,74.1
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf,51.46,59.58,70.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,38.66,59.58,76.49
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,43.07,59.58,59.39
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,38.88,59.58,71.53
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib,66.02,59.58,72.37
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,48.04,59.58,67.11
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,75.05,59.58,72.79
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,63.36,59.58,74.26
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf,52.98,59.58,71.98
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,38.81,59.58,76.7
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,50.5,59.58,65.92
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,41.96,59.58,75.0
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib,66.48,59.58,72.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,48.1,59.58,67.12
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,75.54,59.58,72.97
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,63.48,59.58,74.28
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf,53.44,59.58,72.35
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,38.79,59.58,76.74
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,52.92,59.58,67.74
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,42.92,59.58,75.9
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,69.02,56.23,69.87
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,60.78,56.23,71.44
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,66.37,56.23,67.6
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift_ro,59.54,56.23,72.28
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib,72.92,56.23,72.34
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_ro,61.84,56.23,72.04
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift,72.88,56.23,72.02
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,100,calib_shift_ro,62.41,56.23,74.15
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib,73.95,56.23,73.0
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_ro,62.04,56.23,72.1
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift,74.53,56.23,72.77
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,500,calib_shift_ro,62.88,56.23,74.32
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib,74.24,56.23,73.19
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_ro,62.05,56.23,72.1
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift,74.97,56.23,72.96
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,1000,calib_shift_ro,62.98,56.23,74.34
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib,58.88,56.32,67.38
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_ro,46.7,56.32,66.3
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift,67.24,56.32,68.08
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,10,calib_shift_ro,60.4,56.32,72.29
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib,64.22,56.32,71.13
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_ro,47.84,56.32,67.05
standard_benchmark,DepthAnythingV3Calib-DA3MONO-LARGE,100,calib_shift,73.26,56.32,72.04
