group,dataset,mde,A.Rel,d1,A.Rel_si,d1_si,A.Rel_ssi,d1_ssi
standard_benchmark,scannetpp,UniK3DCalib-vitl,6.421241318887448,96.16468708430908,4.231603511090471,97.02393703104521,3.9516403553653534,97.28723308055905
standard_benchmark,scannetpp,VGGT-VGGT-1B,56.09752028437838,8.528973726390765,5.079421004919466,96.06798991668816,4.567472659817242,96.67202397846721
standard_benchmark,lamar,DepthAnythingV2-vitb,98.41364092578702,0.21233705251267207,111.54330079559091,68.84361285936951,64.9060331503559,36.72214361186159
standard_benchmark,lamar,DepthAnythingV2-vitl,100.50643485189528,0.006616681457157695,396.80840205890496,68.03000945239525,68.6913473452382,33.19256960483896
standard_benchmark,lamar,DepthAnythingV2-vits,99.156103279998,0.6537632815485177,102.01813973027869,68.26127731791878,62.402073336284715,39.27885560475351
standard_benchmark,lamar,DepthAnythingV3-DA3METRIC-LARGE,26.203364328510848,72.64211690890113,15.698958386582957,85.60737361563352,17.946771719190764,81.26840308898758
standard_benchmark,lamar,DepthAnythingV3-DA3MONO-LARGE,72.91612951963401,1.8738988578567586,19.75253241866909,74.8487023384587,18.011222613262643,81.02165335865749
standard_benchmark,lamar,DepthAnythingV3Calib-DA3METRIC-LARGE,26.20919380564879,72.6420946375564,15.702832161761355,85.60735843551826,17.950158488808803,81.26215832600312
standard_benchmark,lamar,DepthAnythingV3Calib-DA3MONO-LARGE,72.91624028145267,1.873721293517245,19.754790150007516,74.8486458199238,18.014523138449178,81.01809576677086
standard_benchmark,lamar,DepthPro-vitl,630.3761674786042,39.13715453042426,778.4410686040386,87.20869351578132,41.00060205315262,62.81693018417302
standard_benchmark,lamar,DepthProCalib-vitl,628.004748233302,40.72813539733539,744.9945582587887,87.20890191989072,40.9990779756111,62.81677777898127
standard_benchmark,lamar,InfiniDepth-vitl,195.181285166982,19.522488143017714,150.3906737145317,55.31398194101316,54.820853443049714,34.98117398637565
standard_benchmark,lamar,MapAnything-map-anything,24.702532126174244,61.19460181302384,13.599974823118837,86.31507832198601,18.33524572138048,79.46694962496731
standard_benchmark,lamar,MapAnythingCalib-map-anything,24.136927273624952,59.34076230527272,13.506887082526848,86.37689406255879,18.26844477017352,79.54645272337244
standard_benchmark,lamar,Metric3DV2-vit_giant2,200.72669808137468,0.4635705670919085,12.033915590478095,90.41538818665725,15.432480552152438,84.30661214383045
standard_benchmark,lamar,Metric3DV2-vit_large,198.688751489692,0.4597749134765721,11.489527164787159,89.83952864589725,14.527119989657189,85.5417938034097
standard_benchmark,lamar,Metric3DV2-vit_small,203.83580504490908,0.7757305648222909,13.873705317955748,85.37562061110519,17.24783346214916,80.52074743419446
standard_benchmark,lamar,Metric3DV2Calib-vit_giant2,188.74790436898823,0.5066863149582141,12.03364838720438,90.4163251617564,15.432481962802065,84.30662701135732
standard_benchmark,lamar,Metric3DV2Calib-vit_large,186.8032926525329,0.503131257307263,11.490007123705078,89.83943214568656,14.527112413323579,85.54175330017462
standard_benchmark,lamar,Metric3DV2Calib-vit_small,191.73982342705597,0.8797018317179983,13.87375833556123,85.37417390249335,17.247828030373928,80.52084905718044
standard_benchmark,lamar,MoGeV1-moge-vitl,64.24495850102302,6.507419689874956,9.755083285379303,90.72323718888491,13.270756049493636,86.26753964198369
standard_benchmark,lamar,MoGeV1Calib-moge-vitl,64.62621561901433,5.596107398712265,9.902888886171048,90.6515398991292,13.270758514294636,86.26752289178485
standard_benchmark,lamar,MoGeV2-moge-2-vitl,19.826267064009155,74.04735454062582,9.837059903163384,90.69596272264863,13.163185121248294,86.20358467750272
