dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV2-vits,100,calib_shift_ro,65.43427,1.543877,0.0,53.727713,8.967729,0.762764
sintel,DepthAnythingV2-vits,100,sf_shift_ro,62.453827,2.300445,0.558057,53.727713,14.299362,0.753661
sintel,DepthAnythingV2-vits,500,calib,85.964398,0.592134,0.0,53.727713,84.148436,0.815849
sintel,DepthAnythingV2-vits,500,sf,77.778655,1.113203,0.263053,53.727713,82.245049,0.798987
sintel,DepthAnythingV2-vits,500,calib_shift,87.548933,0.323758,0.0,53.727713,86.371308,0.821281
sintel,DepthAnythingV2-vits,500,sf_shift,74.944564,0.702896,0.202013,53.727713,99.742236,0.796172
sintel,DepthAnythingV2-vits,500,calib_ro,74.264583,0.935536,0.0,53.727713,6.901805,0.767608
sintel,DepthAnythingV2-vits,500,sf_ro,66.762229,1.750352,0.535368,53.727713,10.351006,0.762592
sintel,DepthAnythingV2-vits,500,calib_shift_ro,65.342158,1.56013,0.0,53.727713,12.700769,0.764528
sintel,DepthAnythingV2-vits,500,sf_shift_ro,62.578414,2.283769,0.546785,53.727713,23.932421,0.759585
sintel,DepthAnythingV2-vits,1000,calib,86.085388,0.585442,0.0,53.727713,101.373825,0.819554
sintel,DepthAnythingV2-vits,1000,sf,78.50513,1.061588,0.256638,53.727713,93.237281,0.807057
sintel,DepthAnythingV2-vits,1000,calib_shift,88.023635,0.31665,0.0,53.727713,101.861124,0.823314
sintel,DepthAnythingV2-vits,1000,sf_shift,76.234746,0.679789,0.183456,53.727713,119.537825,0.806219
sintel,DepthAnythingV2-vits,1000,calib_ro,74.26405,0.933838,0.0,53.727713,9.114827,0.767606
sintel,DepthAnythingV2-vits,1000,sf_ro,66.778817,1.73797,0.53593,53.727713,14.340431,0.762703
sintel,DepthAnythingV2-vits,1000,calib_shift_ro,65.378142,1.568122,0.0,53.727713,15.050167,0.764952
sintel,DepthAnythingV2-vits,1000,sf_shift_ro,62.507292,2.327497,0.538032,53.727713,35.672695,0.760529
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,calib,85.557856,0.460566,0.0,40.763493,36.685878,0.786537
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,sf,79.572668,0.766424,0.118477,40.763493,46.404036,0.778407
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,82.047601,0.493968,0.0,40.763493,41.523525,0.773172
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,61.29604,1.793968,0.447909,40.763493,47.771831,0.600347
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,74.986046,0.820755,0.0,40.763493,2.796848,0.778503
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,67.196263,1.537388,0.457013,40.763493,4.549573,0.760653
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,64.81395,1.63542,0.0,40.763493,6.554711,0.757984
sintel,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,59.31639,2.478796,0.594127,40.763493,9.579917,0.675809
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,calib,87.52701,0.406234,0.0,40.763493,58.857502,0.813144
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,sf,83.337928,0.688825,0.104417,40.763493,68.095413,0.816388
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,86.426856,0.409025,0.0,40.763493,64.09682,0.816138
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,70.983715,1.080518,0.242642,40.763493,77.464184,0.758902
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,74.95542,0.835125,0.0,40.763493,4.720961,0.781745
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,68.960645,1.47462,0.43689,40.763493,7.73247,0.781603
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,65.541633,1.496277,0.0,40.763493,10.007844,0.772405
sintel,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,62.861321,2.207265,0.569073,40.763493,15.754045,0.761258
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,calib,87.829763,0.397614,0.0,40.763493,83.123232,0.8213
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,sf,83.999745,0.662127,0.101692,40.763493,87.345306,0.825045
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,87.120569,0.382169,0.0,40.763493,87.245733,0.822963
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,74.471081,0.88485,0.189214,40.763493,108.535979,0.793791
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,74.969402,0.835147,0.0,40.763493,7.716479,0.782031
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,69.017898,1.472337,0.444092,40.763493,13.148194,0.782875
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,65.661705,1.450576,0.0,40.763493,13.930775,0.773241
sintel,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,63.273384,2.152116,0.558843,40.763493,28.162153,0.766557
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,87.883945,0.395978,0.0,40.763493,103.295075,0.823976
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,84.255811,0.653998,0.102157,40.763493,100.086987,0.827476
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,87.496817,0.370936,0.0,40.763493,103.616048,0.824803
sintel,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,76.067628,0.83331,0.172708,40.763493,130.748883,0.804996
