dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
illusion,DepthAnythingV3-DA3MONO-LARGE,100,calib,36.37,69.39,57.94
illusion,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,19.91,69.39,37.59
illusion,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,64.05,69.39,63.79
illusion,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,54.28,69.39,53.34
illusion,DepthAnythingV3-DA3MONO-LARGE,100,sf,35.68,69.39,59.08
illusion,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,25.71,69.39,49.3
illusion,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,31.32,69.39,44.02
illusion,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,27.04,69.39,43.2
illusion,DepthAnythingV3-DA3MONO-LARGE,500,calib,39.5,69.39,61.61
illusion,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,20.12,69.39,37.73
illusion,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,66.14,69.39,65.17
illusion,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,55.0,69.39,53.48
illusion,DepthAnythingV3-DA3MONO-LARGE,500,sf,37.58,69.39,62.05
illusion,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,25.59,69.39,49.73
illusion,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,40.14,69.39,53.36
illusion,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,30.66,69.39,47.68
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,calib,40.76,69.39,62.86
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,20.21,69.39,37.74
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,66.9,69.39,65.6
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,54.92,69.39,53.51
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,sf,38.3,69.39,62.97
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,25.48,69.39,49.84
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,43.44,69.39,56.4
illusion,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,32.05,69.39,48.84
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,49.38,65.24,57.34
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_ro,39.21,65.24,43.67
illusion,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib_shift,55.04,65.24,56.22
